Year,Employment Rate
1971,71.8
1972,72
1973,72.9
1974,73
1975,72.6
1976,71.9
1977,71.6
1978,71.6
1979,71.8
1980,70.8
1981,68.5
1982,66.8
1983,65.9
1984,66.8
1985,67.4
1986,67.7
1987,68.8
1988,70.9
1989,72.5
1990,72.7
1991,70.7
1992,69
1993,68.4
1994,68.9
1995,69.5
1996,70
1997,71
1998,71.5
1999,72.1
2000,72.5
2001,72.6
2002,72.7
2003,72.8
2004,72.9
2005,72.9
2006,72.8
2007,72.7
2008,72.6
2009,70.9
2010,70.4
2011,70.3
2012,71
2013,71.5
2014,72.8
2015,73.6
2016,74.2
2017,74.8
2018,75.4
2019,75.8
2020,75
2021,74.7
2022,75.1
2023,75.1
