Date,GDP
1948,381461
1949,394097
1950,407268
1951,422401
1952,428734
1953,452548
1954,472254
1955,491243
1956,499555
1957,509379
1958,516239
1959,538278
1960,572313
1961,587589
1962,593887
1963,622566
1964,658062
1965,671975
1966,682419
1967,701215
1968,739468
1969,753606
1970,773977
1971,801969
1972,836938
1973,891381
1974,869155
1975,856049
1976,881878
1977,903587
1978,941461
1979,976566
1980,956533
1981,949961
1982,968629
1983,1008981
1984,1031385
1985,1073547
1986,1106912
1987,1166905
1988,1229650
1989,1259191
1990,1266248
1991,1248461
1992,1251525
1993,1279802
1994,1323443
1995,1355023
1996,1390010
1997,1458467
1998,1508263
1999,1554509
2000,1621644
2001,1663462
2002,1693271
2003,1746551
2004,1788931
2005,1837927
2006,1881785
2007,1931094
2008,1926735
2009,1837817
2010,1878960
2011,1900476
2012,1929229
2013,1963807
2014,2026566
2015,2071561
2016,2111357
2017,2167415
2018,2197841
2019,2233921
2020,2002489
2021,2176203
2022,2270764
