K,s,R^2_bar
0.1,0.1,0.3966
0.1,0.2,0.3554
0.1,0.3,0.2947
0.1,0.4,0.2254
0.1,0.5,0.1497
0.1,0.6,0.0688
0.1,0.7,-0.0155
0.1,0.8,-0.0885
0.1,0.9,-0.1736
0.2,0.1,0.3975
0.2,0.2,0.3578
0.2,0.3,0.2974
0.2,0.4,0.2275
0.2,0.5,0.1511
0.2,0.6,0.0696
0.2,0.7,-0.0151
0.2,0.8,-0.0882
0.2,0.9,-0.1734
0.3,0.1,0.398
0.3,0.2,0.3592
0.3,0.3,0.2992
0.3,0.4,0.2291
0.3,0.5,0.1522
0.3,0.6,0.0703
0.3,0.7,-0.0147
0.3,0.8,-0.0879
0.3,0.9,-0.1733
0.4,0.1,0.3984
0.4,0.2,0.3603
0.4,0.3,0.3006
0.4,0.4,0.2303
0.4,0.5,0.1531
0.4,0.6,0.0709
0.4,0.7,-0.0143
0.4,0.8,-0.0877
0.4,0.9,-0.1732
0.5,0.1,0.3986
0.5,0.2,0.3611
0.5,0.3,0.3017
0.5,0.4,0.2314
0.5,0.5,0.1538
0.5,0.6,0.0714
0.5,0.7,-0.014
0.5,0.8,-0.0874
0.5,0.9,-0.173
0.6,0.1,0.3989
0.6,0.2,0.3619
0.6,0.3,0.3027
0.6,0.4,0.2323
0.6,0.5,0.1546
0.6,0.6,0.0719
0.6,0.7,-0.0137
0.6,0.8,-0.0872
0.6,0.9,-0.1729
0.7,0.1,0.3991
0.7,0.2,0.3625
0.7,0.3,0.3036
0.7,0.4,0.2331
0.7,0.5,0.1552
0.7,0.6,0.0723
0.7,0.7,-0.0134
0.7,0.8,-0.087
0.7,0.9,-0.1728
0.8,0.1,0.3993
0.8,0.2,0.363
0.8,0.3,0.3044
0.8,0.4,0.2339
0.8,0.5,0.1558
0.8,0.6,0.0728
0.8,0.7,-0.0131
0.8,0.8,-0.0868
0.8,0.9,-0.1727
0.9,0.1,0.3994
0.9,0.2,0.3635
0.9,0.3,0.3051
0.9,0.4,0.2346
0.9,0.5,0.1564
0.9,0.6,0.0732
0.9,0.7,-0.0129
0.9,0.8,-0.0866
0.9,0.9,-0.1725
